Date,Open,High,Low,Close,Adj Close,Volume
2018-09-28,6.970000,7.280000,6.680000,6.980000,6.980000,21813600
2018-10-01,7.060000,7.080000,6.600000,6.600000,6.600000,16429100
2018-10-02,6.600000,6.600000,5.870000,5.930000,5.930000,19440000
2018-10-03,6.120000,6.550000,6.120000,6.300000,6.300000,13251200
2018-10-04,6.190000,6.250000,6.000000,6.250000,6.250000,11896600
2018-10-05,6.200000,6.290000,6.030000,6.260000,6.260000,8378300
2018-10-08,6.070000,6.180000,5.950000,6.040000,6.040000,11508800
2018-10-09,6.190000,7.400000,6.100000,7.390000,7.390000,38464400
2018-10-10,8.100000,8.350000,7.390000,7.750000,7.750000,74971100
2018-10-11,7.440000,7.550000,6.920000,7.180000,7.180000,22730000
2018-10-12,7.460000,7.750000,7.280000,7.460000,7.460000,14545400
2018-10-15,7.860000,8.300000,7.700000,7.820000,7.820000,26781700
2018-10-16,8.060000,8.200000,7.830000,8.040000,8.040000,17490500
2018-10-17,8.120000,8.160000,7.730000,7.770000,7.770000,11705300
2018-10-18,7.600000,7.670000,7.260000,7.500000,7.500000,11906000
2018-10-19,7.590000,7.750000,7.220000,7.320000,7.320000,7336200
2018-10-22,7.680000,7.690000,7.000000,7.030000,7.030000,12758500
2018-10-23,6.740000,6.890000,6.450000,6.810000,6.810000,14901700
2018-10-24,6.850000,6.850000,6.130000,6.170000,6.170000,14789900
2018-10-25,6.270000,6.570000,6.250000,6.450000,6.450000,9188700
2018-10-26,6.210000,6.510000,6.180000,6.350000,6.350000,9459000
2018-10-29,6.530000,6.790000,6.050000,6.190000,6.190000,16027600
2018-10-30,6.200000,6.220000,5.620000,5.950000,5.950000,21823900
2018-10-31,6.080000,6.250000,5.900000,5.900000,5.900000,15213400
2018-11-01,6.000000,6.780000,5.960000,6.620000,6.620000,24330900
2018-11-02,6.840000,6.840000,6.270000,6.490000,6.490000,17988800
2018-11-05,6.520000,6.720000,6.250000,6.680000,6.680000,13188700
2018-11-06,7.220000,7.320000,6.400000,6.400000,6.400000,49855800
2018-11-07,6.420000,6.880000,6.150000,6.740000,6.740000,23761800
2018-11-08,6.490000,7.100000,6.470000,6.690000,6.690000,20510700
2018-11-09,6.590000,6.930000,6.520000,6.770000,6.770000,12789800
2018-11-12,6.720000,6.930000,6.560000,6.650000,6.650000,12709100
2018-11-13,6.690000,6.900000,6.580000,6.780000,6.780000,15374100
2018-11-14,6.800000,7.450000,6.800000,7.100000,7.100000,29585100
2018-11-15,7.150000,7.490000,7.110000,7.340000,7.340000,17904000
2018-11-16,7.400000,7.650000,7.160000,7.190000,7.190000,14972500
2018-11-19,7.380000,8.210000,7.280000,7.840000,7.840000,49171800
2018-11-20,7.650000,7.910000,7.150000,7.670000,7.670000,26923200
2018-11-21,7.900000,8.050000,7.630000,7.710000,7.710000,13993600
2018-11-23,7.680000,7.700000,7.410000,7.460000,7.460000,8119700
2018-11-26,7.610000,7.630000,7.160000,7.370000,7.370000,12164900
2018-11-27,7.300000,7.700000,7.230000,7.480000,7.480000,9084900
2018-11-28,7.600000,8.150000,7.600000,8.120000,8.120000,22096900
2018-11-29,8.060000,8.120000,7.760000,7.790000,7.790000,13207600
2018-11-30,7.800000,8.000000,7.680000,7.710000,7.710000,10994700
2018-12-03,8.100000,8.130000,7.500000,7.580000,7.580000,22425400
2018-12-04,7.600000,7.640000,7.050000,7.080000,7.080000,19624700
2018-12-06,6.860000,7.370000,6.720000,7.370000,7.370000,16688100
2018-12-07,7.360000,7.380000,6.960000,6.990000,6.990000,11576200
2018-12-10,7.030000,7.120000,6.740000,7.030000,7.030000,9981000
2018-12-11,7.080000,7.200000,6.920000,7.080000,7.080000,8095700
2018-12-12,7.200000,7.550000,7.120000,7.540000,7.540000,16007500
2018-12-13,7.550000,7.900000,7.260000,7.750000,7.750000,14980900
2018-12-14,7.530000,7.890000,7.400000,7.700000,7.700000,10773600
2018-12-17,7.630000,7.640000,6.960000,7.030000,7.030000,18132800
2018-12-18,7.030000,7.190000,6.840000,7.070000,7.070000,10685800
2018-12-19,7.010000,7.150000,6.800000,6.830000,6.830000,9299700
2018-12-20,6.820000,6.920000,6.330000,6.520000,6.520000,12080000
2018-12-21,6.530000,6.650000,6.060000,6.070000,6.070000,13598300
2018-12-24,6.000000,6.120000,5.840000,5.920000,5.920000,8835800
2018-12-26,6.110000,6.370000,5.960000,6.360000,6.360000,9912300
2018-12-27,6.170000,6.450000,6.030000,6.430000,6.430000,8531900
2018-12-28,6.500000,6.560000,6.300000,6.470000,6.470000,7996500
2018-12-31,6.560000,6.570000,6.210000,6.370000,6.370000,8667400
2019-01-02,6.130000,6.240000,6.000000,6.200000,6.200000,8823600
2019-01-03,6.100000,6.150000,6.020000,6.050000,6.050000,7562900
2019-01-04,6.190000,6.400000,6.130000,6.360000,6.360000,9405600
2019-01-07,6.410000,6.590000,6.310000,6.500000,6.500000,9709000
2019-01-08,6.570000,6.580000,6.170000,6.400000,6.400000,9603800
2019-01-09,6.410000,6.690000,6.350000,6.630000,6.630000,11489900
2019-01-10,6.630000,6.730000,6.410000,6.660000,6.660000,11221100
2019-01-11,6.500000,6.620000,6.480000,6.590000,6.590000,6902300
2019-01-14,6.510000,7.150000,6.370000,6.800000,6.800000,19454100
2019-01-15,6.850000,7.070000,6.750000,6.820000,6.820000,12633000
2019-01-16,6.800000,6.900000,6.680000,6.710000,6.710000,6941200
2019-01-17,6.700000,6.880000,6.530000,6.810000,6.810000,8508900
2019-01-18,6.890000,6.910000,6.680000,6.710000,6.710000,9240900
2019-01-22,6.630000,6.670000,6.510000,6.570000,6.570000,6379600
2019-01-23,6.630000,6.790000,6.470000,6.550000,6.550000,5686000
2019-01-24,6.470000,6.750000,6.470000,6.580000,6.580000,5920000
2019-01-25,6.650000,6.780000,6.600000,6.650000,6.650000,6723600
2019-01-28,6.560000,6.680000,6.480000,6.670000,6.670000,5111000
2019-01-29,6.680000,6.970000,6.640000,6.940000,6.940000,14200100
2019-01-30,6.940000,7.550000,6.920000,7.460000,7.460000,28775000
2019-01-31,7.400000,7.890000,7.400000,7.880000,7.880000,21233900
2019-02-01,7.850000,8.110000,7.680000,7.900000,7.900000,20788800
2019-02-04,7.960000,7.980000,7.740000,7.850000,7.850000,8585300
2019-02-05,7.710000,7.960000,7.610000,7.880000,7.880000,9029900
2019-02-06,7.950000,8.590000,7.830000,8.400000,8.400000,33404700
2019-02-07,8.280000,8.370000,7.800000,8.040000,8.040000,23198200
2019-02-08,8.000000,8.000000,7.280000,7.670000,7.670000,21709300
